Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00     9170     0.00     0.00  GFX::cTextureWrapper::GetV() const
  0.00      0.01     0.00     9169     0.00     0.00  GFX::cTextureWrapper::GetU2() const
  0.00      0.01     0.00     9169     0.00     0.00  GFX::cTextureWrapper::GetV2() const
  0.00      0.01     0.00     9072     0.00     0.00  GFX::G2D::cSpriteBatch::ChangeTexture(GFX::cTextureWrapper const&)
  0.00      0.01     0.00     9072     0.00     0.00  GFX::G2D::cSpriteBatch::FlushIfNewTextureOrBatchFull(GFX::cTextureWrapper const&)
  0.00      0.01     0.00     9072     0.00     0.00  GFX::G2D::cSpriteBatch::DrawTexturePos2Dim2Origin2Scale2Rot(GFX::cTextureWrapper const&, float, float, float, float, float, float, float, float, float)
  0.00      0.01     0.00     9072     0.00     0.00  MATH::CloseTof(float, float)
  0.00      0.01     0.00     9072     0.00     0.00  cTile::Render(CORE::cGame*, float, GFX::G2D::cSpriteBatch&)
  0.00      0.01     0.00     8496     0.00     0.00  GFX::cTextureMesh::Render()
  0.00      0.01     0.00     8496     0.00     0.00  GFX::G2D::cSpriteBatch::RenderMesh()
  0.00      0.01     0.00     8496     0.00     0.00  GFX::cTextureWrapper::BindGL() const
  0.00      0.01     0.00      412     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<int const, char> >*)
  0.00      0.01     0.00      361     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.01     0.00      294     0.00     0.00  __gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >::__normal_iterator(STATE::iGameState* const* const&)
  0.00      0.01     0.00      246     0.00     0.00  CORE::cGame::GetSDLState()
  0.00      0.01     0.00      242     0.00     0.00  std::_Select1st<std::pair<int const, char> >::operator()(std::pair<int const, char> const&) const
  0.00      0.01     0.00      240     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::operator*() const
  0.00      0.01     0.00      238     0.00     0.00  std::map<int, char, std::less<int>, std::allocator<std::pair<int const, char> > >::end()
  0.00      0.01     0.00      238     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::end()
  0.00      0.01     0.00      238     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_S_key(std::_Rb_tree_node<std::pair<int const, char> > const*)
  0.00      0.01     0.00      238     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_S_value(std::_Rb_tree_node<std::pair<int const, char> > const*)
  0.00      0.01     0.00      166     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00      147     0.00     0.00  std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> >::end() const
  0.00      0.01     0.00      139     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::operator->() const
  0.00      0.01     0.00      139     0.00     0.00  std::pair<int const, char>* std::__addressof<std::pair<int const, char> >(std::pair<int const, char>&)
  0.00      0.01     0.00      127     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_M_end()
  0.00      0.01     0.00      122     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::operator==(std::_Rb_tree_iterator<std::pair<int const, char> > const&) const
  0.00      0.01     0.00      122     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_M_begin()
  0.00      0.01     0.00      121     0.00     0.00  std::map<int, char, std::less<int>, std::allocator<std::pair<int const, char> > >::lower_bound(int const&)
  0.00      0.01     0.00      121     0.00     0.00  std::map<int, char, std::less<int>, std::allocator<std::pair<int const, char> > >::operator[](int const&)
  0.00      0.01     0.00      121     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::lower_bound(int const&)
  0.00      0.01     0.00      121     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, char> >*, std::_Rb_tree_node<std::pair<int const, char> >*, int const&)
  0.00      0.01     0.00      119     0.00     0.00  std::map<int, char, std::less<int>, std::allocator<std::pair<int const, char> > >::key_comp() const
  0.00      0.01     0.00      119     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::key_comp() const
  0.00      0.01     0.00      117     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, char> > const&) const
  0.00      0.01     0.00      102     0.00     0.00  __gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >::base() const
  0.00      0.01     0.00       96     0.00     0.00  GFX::ImmediateRenderTexturePos2Dim2(GFX::cTextureWrapper&, float, float, float, float)
  0.00      0.01     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >::operator*() const
  0.00      0.01     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >::operator-(int const&) const
  0.00      0.01     0.00       96     0.00     0.00  std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> >::back() const
  0.00      0.01     0.00       89     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       78     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00       78     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00       78     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.01     0.00       72     0.00     0.00  GFX::RenderFullViewportTexture(GFX::cTextureWrapper&, int, int)
  0.00      0.01     0.00       72     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      0.01     0.00       72     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00      0.01     0.00       72     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00       69     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, char> >::operator++()
  0.00      0.01     0.00       51     0.00     0.00  bool __gnu_cxx::operator==<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >(__gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > > const&, __gnu_cxx::__normal_iterator<STATE::iGameState* const*, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > > const&)
  0.00      0.01     0.00       51     0.00     0.00  std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> >::begin() const
  0.00      0.01     0.00       51     0.00     0.00  std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> >::empty() const
  0.00      0.01     0.00       50     0.00     0.00  GFX::cTextureWrapper::SetUV(float, float, float, float)
  0.00      0.01     0.00       50     0.00     0.00  GFX::cTextureWrapper::GetTextureFormat() const
  0.00      0.01     0.00       49     0.00     0.00  std::_Rb_tree<int, std::pair<int const, char>, std::_Select1st<std::pair<int const, char> >, std::less<int>, std::allocator<std::pair<int const, char> > >::begin()
  0.00      0.01     0.00       48     0.00     0.00  cMainGameState::RenderMotionBlur(CORE::cGame*, float)
  0.00      0.01     0.00       48     0.00     0.00  GFX::CopyBackbufferToTexture(GFX::cTextureWrapper&, int, int)
  0.00      0.01     0.00       48     0.00     0.00  CORE::Input::GetKeyState(int)
  0.00      0.01     0.00       48     0.00     0.00  STATE::cGameStateManager::GetCurrent() const
  0.00      0.01     0.00       48     0.00     0.00  std::vector<_SDL_Joystick*, std::allocator<_SDL_Joystick*> >::size() const
  0.00      0.01     0.00       48     0.00     0.00  std::map<int, char, std::less<int>, std::allocator<std::pair<int const, char> > >::begin()
  0.00      0.01     0.00       38     0.00     0.00  std::_Vector_base<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       33     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.01     0.00       33     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.01     0.00       29     0.00     0.00  void std::_Destroy_aux<true>::__destroy<GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       29     0.00     0.00  void std::_Destroy<GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       29     0.00     0.00  void std::_Destroy<GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex>(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, std::allocator<GFX::cTextureMesh::Vertex>&)
  0.00      0.01     0.00       27     0.00     0.00  GFX::cImage::ConvertPixelFormat()
  0.00      0.01     0.00       27     0.00     0.00  std::__shared_ptr<GFX::cImage, (__gnu_cxx::_Lock_policy)1>::operator->() const
  0.00      0.01     0.00       27     0.00     0.00  std::_Iter_base<GFX::cTextureMesh::Vertex*, false>::_S_base(GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       27     0.00     0.00  std::_Niter_base<GFX::cTextureMesh::Vertex*>::iterator_type std::__niter_base<GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       24     0.00     0.41  cTileLevel::Render(CORE::cGame*, float, GFX::G2D::cSpriteBatch&, MATH::cRectf const&)
  0.00      0.01     0.00       24     0.00     0.41  cMainGameState::RenderMain(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.00  cMainGameState::HandleInput(CORE::cGame*)
  0.00      0.01     0.00       24     0.00     0.00  cMainGameState::BuildLightMask(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.00  cMainGameState::RenderLightMask(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.00  cMainGameState::BuildMotionBlurFrame(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.42  cMainGameState::Render(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.00  cMainGameState::Update(CORE::cGame*, float)
  0.00      0.01     0.00       24     0.00     0.00  GFX::cTextureMesh::Destroy()
  0.00      0.01     0.00       24     0.00     0.00  GFX::G2D::cSpriteBatch::End()
  0.00      0.01     0.00       24     0.00     0.00  GFX::G2D::cSpriteBatch::Begin()
  0.00      0.01     0.00       24     0.00     0.00  GFX::G2D::cSpriteBatch::SetColor(float, float, float, float)
  0.00      0.01     0.00       24     0.00     0.00  CORE::Input::OnKeyDown(int)
  0.00      0.01     0.00       24     0.00     0.00  CORE::Input::UpdateAll()
  0.00      0.01     0.00       24     0.00     0.00  CORE::cGame::GetInput()
  0.00      0.01     0.00       24     0.00     0.00  CORE::cTimer::GetTicksDelta()
  0.00      0.01     0.00       24     0.00     0.00  MATH::cRectf::cRectf(float, float, float, float)
  0.00      0.01     0.00       24     0.00     0.00  Color4::Color4(float, float, float, float)
  0.00      0.01     0.00       24     0.00     0.00  MATH::cRectf::Top() const
  0.00      0.01     0.00       24     0.00     0.00  MATH::cRectf::Left() const
  0.00      0.01     0.00       24     0.00     0.00  MATH::cRectf::Right() const
  0.00      0.01     0.00       24     0.00     0.00  MATH::cRectf::Bottom() const
  0.00      0.01     0.00       24     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::_M_erase_at_end(GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       24     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::clear()
  0.00      0.01     0.00       24     0.00     0.00  std::vector<GFX::cTexture, std::allocator<GFX::cTexture> >::operator[](unsigned int)
  0.00      0.01     0.00       22     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.01     0.00       22     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      0.01     0.00       22     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.01     0.00       22     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      0.01     0.00       22     0.00     0.00  std::move_iterator<int*> std::make_move_iterator<int*>(int* const&)
  0.00      0.01     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00       19     0.00     0.00  std::pair<int const, char>&& std::forward<std::pair<int const, char> >(std::remove_reference<std::pair<int const, char> >::type&)
  0.00      0.01     0.00       19     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.01     0.00       18     0.00     0.00  std::move_iterator<GFX::cTextureMesh::Vertex*>::base() const
  0.00      0.01     0.00       18     0.00     0.00  std::_Iter_base<std::move_iterator<GFX::cTextureMesh::Vertex*>, true>::_S_base(std::move_iterator<GFX::cTextureMesh::Vertex*>)
  0.00      0.01     0.00       18     0.00     0.00  std::move_iterator<GFX::cTextureMesh::Vertex*>::move_iterator(GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00       18     0.00     0.00  std::_Miter_base<std::move_iterator<GFX::cTextureMesh::Vertex*> >::iterator_type std::__miter_base<std::move_iterator<GFX::cTextureMesh::Vertex*> >(std::move_iterator<GFX::cTextureMesh::Vertex*>)
  0.00      0.01     0.00       18     0.00     0.00  std::move_iterator<GFX::cTextureMesh::Vertex*> std::make_move_iterator<GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex* const&)
  0.00      0.01     0.00       17     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.01     0.00       17     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::size() const
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > >::base() const
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<GFX::cTextureMesh::Vertex>::max_size() const
  0.00      0.01     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<STATE::iGameState**, std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> > >::__normal_iterator(STATE::iGameState** const&)
  0.00      0.01     0.00       12     0.00     0.00  GFX::cImage::CheckImage() const
  0.00      0.01     0.00       12     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.01     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.01     0.00       11     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.01     0.00       11     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.01     0.00       11     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.01     0.00       11     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.01     0.00       11     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.01     0.00       11     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.01     0.00       11     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.01     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.01     0.00       10     0.00     0.00  std::move_iterator<GFX::cTexture*>::base() const
  0.00      0.01     0.00       10     0.00     0.00  int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.01     0.00        9     0.00     0.00  std::_Vector_base<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00        9     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::max_size() const
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<GFX::cTextureMesh::Vertex>(GFX::cTextureMesh::Vertex const*, GFX::cTextureMesh::Vertex const*, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*>(std::move_iterator<GFX::cTextureMesh::Vertex*>, std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::__copy_move_a<true, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::__copy_move_a2<true, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*>(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::uninitialized_copy<std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*>(std::move_iterator<GFX::cTextureMesh::Vertex*>, std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::__uninitialized_copy_a<std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex>(std::move_iterator<GFX::cTextureMesh::Vertex*>, std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*, std::allocator<GFX::cTextureMesh::Vertex>&)
  0.00      0.01     0.00        9     0.00     0.00  GFX::cTextureMesh::Vertex* std::copy<std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*>(std::move_iterator<GFX::cTextureMesh::Vertex*>, std::move_iterator<GFX::cTextureMesh::Vertex*>, GFX::cTextureMesh::Vertex*)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > >::__normal_iterator(GFX::cTextureMesh::Vertex* const&)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTexture*, std::vector<GFX::cTexture, std::allocator<GFX::cTexture> > >::__normal_iterator(GFX::cTexture* const&)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTexture*, std::vector<GFX::cTexture, std::allocator<GFX::cTexture> > >::base() const
  0.00      0.01     0.00        8     0.00     0.00  std::vector<GFX::cTexture, std::allocator<GFX::cTexture> >::size() const
  0.00      0.01     0.00        8     0.00     0.00  std::move_iterator<GFX::cTexture*>::move_iterator(GFX::cTexture*)
  0.00      0.01     0.00        8     0.00     0.00  std::move_iterator<GFX::cTexture*> std::make_move_iterator<GFX::cTexture*>(GFX::cTexture* const&)
  0.00      0.01     0.00        8     0.00     0.00  GFX::cTextureMesh::Vertex* std::__uninitialized_move_a<GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, std::allocator<GFX::cTextureMesh::Vertex> >(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex*, std::allocator<GFX::cTextureMesh::Vertex>&)
  0.00      0.01     0.00        7     0.00     0.00  GFX::cTextureWrapper::GetTextureWidth() const
  0.00      0.01     0.00        7     0.00     0.00  GFX::cTextureWrapper::GetTextureHeight() const
  0.00      0.01     0.00        7     0.00     0.00  std::_Vector_base<GFX::cTexture, std::allocator<GFX::cTexture> >::_M_get_Tp_allocator()
  0.00      0.01     0.00        7     0.00     0.00  GFX::cTexture&& std::forward<GFX::cTexture>(std::remove_reference<GFX::cTexture>::type&)
  0.00      0.01     0.00        6     0.00     0.00  GFX::cTextureWrapper::SetTextureWidth(float)
  0.00      0.01     0.00        6     0.00     0.00  GFX::cTextureWrapper::SetTextureHeight(float)
  0.00      0.01     0.00        6     0.00     0.00  GFX::cTexture::~cTexture()
  0.00      0.01     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      0.01     0.00        6     0.00     0.00  GFX::cImage::GetBytesPerPixel() const
  0.00      0.01     0.00        6     0.00     0.00  GFX::cImage::GetTextureFormat() const
  0.00      0.01     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<GFX::cTexture>::max_size() const
  0.00      0.01     0.00        6     0.00     0.00  std::_Iter_base<STATE::iGameState**, false>::_S_base(STATE::iGameState**)
  0.00      0.01     0.00        6     0.00     0.00  std::shared_ptr<GFX::cImage>::~shared_ptr()
  0.00      0.01     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      0.01     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.01     0.00        6     0.00     0.00  std::__shared_ptr<GFX::cImage, (__gnu_cxx::_Lock_policy)1>::~__shared_ptr()
  0.00      0.01     0.00        6     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)1>::~__shared_count()
  0.00      0.01     0.00        6     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, STATE::iGameState* (*)()> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, STATE::iGameState* (*)()> >*)
  0.00      0.01     0.00        6     0.00     0.00  std::vector<STATE::iGameState*, std::allocator<STATE::iGameState*> >::end()
  0.00      0.01     0.00        6     0.00     0.00  std::_Niter_base<STATE::iGameState**>::iterator_type std::__niter_base<STATE::iGameState**>(STATE::iGameState**)
  0.00      0.01     0.00        6     0.00     0.00  std::pair<std::string, GFX::cTextureWrapper>&& std::forward<std::pair<std::string, GFX::cTextureWrapper> >(std::remove_reference<std::pair<std::string, GFX::cTextureWrapper> >::type&)
  0.00      0.01     0.00        6     0.00     0.00  std::pair<std::string, STATE::iGameState* (*)()>&& std::forward<std::pair<std::string, STATE::iGameState* (*)()> >(std::remove_reference<std::pair<std::string, STATE::iGameState* (*)()> >::type&)
